Family,Variety,File_Name,Avg_Entropy,Avg_Wordsize,Avg_Length,Avg_Num_Equals,Avg_Num_Dashes,Avg_Num_Slashes,Avg_Num_Pluses,Avg_Sum_RepChars,class
Airpush,variety1,000155532f5193ef9de3b24b2c454778,0.3809,76.1009,39.1009,0.0619,0.0657,0.2798,0.1453,31.9151,0
Airpush,variety1,0008cb1b1d6479eeab4fa8e82538d716,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,000a75c02f4a442a4876448fc537826e,0.395,61.9348,24.9348,0.0913,0.0418,0.0977,0.0508,17.6833,0
Airpush,variety1,000bb6cc0915060ddd894cd7407b543c,0.3441,53.3189,16.3189,0.1023,0.0409,0.1817,0.0012,10.0987,0
Airpush,variety1,001c84221f4764b9a61b7e70d5bf325f,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,002813f37dd2e007e34d11bca903086d,0.3946,59.7256,22.7256,0.0505,0.0298,0.0556,0.0192,15.576,0
Airpush,variety1,0034581a853a4e83c926743d738fed2f,0.3442,53.3189,16.3189,0.1023,0.0409,0.1817,0.0012,10.0963,0
Airpush,variety1,0034a2659fc080fda95383d7409339f9,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,0049c21c53148010751d606ee41d9dd1,0.3996,61.5923,24.5923,0.0723,0.0359,0.0764,0.0271,17.2809,0
Airpush,variety1,004c052a6171d6c55fc5f761ff1471e8,0.3976,60.0173,23.0173,0.0571,0.0306,0.0551,0.0196,15.8032,0
Airpush,variety1,004c6e58e4ee0c80f6a9b78d77e5f4cd,0.3905,69.3729,32.3729,0.0843,0.0758,0.2156,0.1001,25.1001,0
Airpush,variety1,0053554adc5e2f0b25c2c7cb95826842,0.3999,60.7091,23.7091,0.1135,0.0401,0.0683,0.0215,16.3144,0
Airpush,variety1,0057e2bc4767184989816c5ae4355819,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,00606f9abb428f189af48e3e7722e224,0.3752,54.1518,17.1518,0.0331,0.0941,0.0796,0.0016,10.1208,0
Airpush,variety1,006ed8f29fc4f279172dd794603a6b0b,0.3947,63.3609,26.3609,0.0952,0.0495,0.1177,0.0682,19.0903,0
Airpush,variety1,00800d9f8b50218349f2480123259c3c,0.3867,67.4313,30.4313,0.0968,0.0494,0.2095,0.0633,23.2362,0
Airpush,variety1,008662eda2d093197d3725df0f3263f0,0.3595,56.0447,19.0447,0.0583,0.0388,0.1903,0.0,12.3689,0
Airpush,variety1,008d4616057d042148b7603a86af8bb8,0.3851,70.3655,33.3655,0.0533,0.0506,0.1657,0.0943,26.1646,0
