File_Name,Avg_Entropy,Avg_Wordsize,Avg_Length,Avg_Num_Equals,Avg_Num_Dashes,Avg_Num_Slashes,Avg_Num_Pluses,Avg_Sum_RepChars,No_of_Strings
ADRD1.apk,0.238,44.0,7.0,0.5,0.0,0.0,0.0,0.0,1
ADRD10.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD11.apk,0.238,44.0,7.0,0.5,0.0,0.0,0.0,0.0,1
ADRD12.apk,0.238,44.0,7.0,0.5,0.0,0.0,0.0,0.0,1
ADRD13.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD14.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD15.apk,0.238,44.0,7.0,0.5,0.0,0.0,0.0,0.0,1
ADRD16.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD17.apk,0.238,44.0,7.0,0.5,0.0,0.0,0.0,0.0,1
ADRD18.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD19.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD2.apk,0.238,44.0,7.0,0.5,0.0,0.0,0.0,0.0,1
ADRD20.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD21.apk,0.238,44.0,7.0,0.5,0.0,0.0,0.0,0.0,1
ADRD22.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD3.apk,0.238,44.0,7.0,0.5,0.0,0.0,0.0,0.0,1
ADRD4.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD5.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD6.apk,0.238,44.0,7.0,0.5,0.0,0.0,0.0,0.0,1
ADRD7.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD8.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADRD9.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot1.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot10.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot100.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot101.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot102.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot103.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot104.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot105.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot106.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot107.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot108.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot109.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot11.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot110.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot111.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot112.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot113.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot114.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot115.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot116.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot117.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot118.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot119.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
